model,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,qwk,qwk_std
RandomForest,0.7852240896358543,0.03041151328254623,0.5860530269544437,0.04903685106017336,0.7795692790898145,0.8312630449814213,0.040290004999104095
XGBoost,0.7650840336134453,0.0311016338885044,0.5544134767664198,0.05639976165389331,0.7625110322059637,0.8389650931200918,0.039969745267365034
LogisticRegression,0.709719887955182,0.038252230476036424,0.5288546554751694,0.04016387024738371,0.7168739025101507,0.8081142519549539,0.04201884583161411
SVM,0.6879271708683474,0.047294361856882,0.48807631354019215,0.07317842933167916,0.6893576892835841,0.7556508686650647,0.05202744268049058
